wsj_section	wsj_doc	DcOffset	Label1	Label2	DcRaw	PBRole	PBVerb	Offset	INDEX	Conn
14	wsj_1485	320..324	Expansion.Conjunction		also			320..324	PDTB2::wsj_1485::320..324::SAME	also
14	wsj_1461	402..406	Expansion.Conjunction		with	ARGM-ADV	pay	402..406	PDTB3::wsj_1461::402..406::ADDED	with
14	wsj_1461	782..785	Comparison.Concession.Arg2-as-denier		but			782..785	PDTB2::wsj_1461::782..785::SAME	But
14	wsj_1461	1123..1125	Comparison.Similarity		as	ARGM-ADV	plan	1123..1125	PDTB3::wsj_1461::1123..1125::ADDED	as
14	wsj_1416	331..343	Contingency.Cause.Result		consequently			331..343	PDTB2::wsj_1416::331..343::SAME	consequently
14	wsj_1416	1221..1228	Expansion.Conjunction		in fact			1221..1228	PDTB2::wsj_1416::1221..1228::SAME	In fact
14	wsj_1416	1910..1915	Comparison.Concession.Arg2-as-denier		still			1910..1915	PDTB2::wsj_1416::1910..1915::CHANGED	still
14	wsj_1416	1865..1871	Comparison.Concession.Arg1-as-denier		though	ARGM-ADV	provide	1865..1871	PDTB2::wsj_1416::1865..1871::CHANGED	though
14	wsj_1416	1843..1850	Comparison.Concession.Arg2-as-denier		however			1843..1850	PDTB2::wsj_1416::1843..1850::CHANGED	However
14	wsj_1416	2082..2087	Contingency.Cause.Reason		since			2082..2087	PDTB2::wsj_1416::2082..2087::SAME	since
14	wsj_1416	2243..2246	Expansion.Conjunction		and			2243..2246	PDTB2::wsj_1416::2243..2246::SAME	and
14	wsj_1416	2375..2379	Expansion.Conjunction		also			2375..2379	PDTB2::wsj_1416::2375..2379::SAME	also
14	wsj_1416	2452..2463	Comparison.Concession.Arg1-as-denier		even though			2452..2463	PDTB2::wsj_1416::2452..2463::CHANGED	even though
14	wsj_1416	3193..3196	Expansion.Conjunction		and			3193..3196	PDTB3::wsj_1416::3193..3196::ADDED	and
14	wsj_1459	322..326	Expansion.Conjunction		also			322..326	PDTB2::wsj_1459::322..326::SAME	also
14	wsj_1424	449..452	Expansion.Conjunction		and			449..452	PDTB3::wsj_1424::449..452::ADDED	and
14	wsj_1424	748..759	Expansion.Instantiation.Arg2-as-instance		for example			748..759	PDTB2::wsj_1424::748..759::CHANGED	for example
14	wsj_1424	846..850	Temporal.Asynchronous.Precedence		then			846..850	PDTB2::wsj_1424::846..850::CHANGED	then
14	wsj_1424	842..845	Expansion.Conjunction		and			842..845	PDTB3::wsj_1424::842..845::ADDED	and
14	wsj_1424	1424..1431	Comparison.Concession.Arg2-as-denier		however			1424..1431	PDTB2::wsj_1424::1424..1431::CHANGED	however
